1000 462
2000 2275
3000 3035
4000 5445
5000 8412
6000 12331
7000 16900
8000 20939
9000 26911
10000 34509
11000 39478
12000 48796
13000 57285
14000 67525
15000 77964
16000 84700
17000 93410
18000 104243
19000 128565
20000 131727
21000 147248
22000 156618
23000 170242
24000 188222
25000 202269
26000 220509
27000 248947
28000 257009
29000 275529
30000 305619
31000 319930
32000 335669
33000 352126
34000 381143
35000 395260
36000 418082
37000 439995
38000 464373
39000 492138
40000 514162
41000 544371
42000 566851
43000 598102
44000 634817
45000 657662
46000 693756
47000 715224
48000 744194
49000 772456
50000 807430
51000 850611
52000 883715
53000 918798
54000 941470
55000 973098
56000 1022228
57000 1046395
58000 1149677
59000 1132578
60000 1162697
61000 1201256
62000 1237765
63000 1282087
64000 1128468
65000 1358571
66000 1394978
67000 1435675
68000 1489095
69000 1528813
70000 1567893
71000 1424363
72000 1272233
73000 1304967
74000 1724723
75000 1811637
76000 1860963
77000 1903910
78000 1961927
79000 2011634
80000 1698425
81000 2167178
82000 2168775
83000 2013449
84000 1719393
85000 1771240
86000 1805935
87000 2443846
88000 2494005
89000 2558196
90000 2554577
91000 2031066
92000 2711183
93000 2798857
94000 2809604
95000 2977843
96000 3011073
97000 3032221
98000 3106054
99000 3182682
100000 3226570
