1000 5264
2000 11346
3000 21468
4000 43527
5000 59255
6000 87165
7000 120640
8000 166106
9000 203209
10000 258580
11000 333497
12000 405744
13000 476397
14000 570016
15000 664031
16000 782285
17000 876290
18000 1002895
19000 1123147
20000 1248759
21000 1385704
22000 1531525
23000 1689237
24000 1839075
25000 2020318
26000 2186529
27000 1833728
28000 1944124
29000 2755274
30000 2948786
31000 3161888
32000 3411019
33000 3444593
34000 3836141
35000 3916563
36000 4298206
37000 3505093
38000 4636107
39000 4861315
40000 4111969
41000 5243471
42000 5426926
43000 5806587
44000 5016917
45000 5253952
46000 5490186
47000 6797814
48000 6827027
49000 7246284
50000 6563445
51000 7585704
52000 8169917
53000 8326353
54000 7661053
55000 8957115
56000 8245863
57000 8537941
58000 8868989
59000 10416997
60000 10725814
61000 10546644
62000 11131549
63000 11488971
64000 10860129
65000 11245056
66000 11582910
67000 11964264
68000 12333242
69000 13603275
70000 13064231
71000 14339151
72000 14785632
73000 14232417
74000 16107698
75000 15027422
76000 15540940
77000 16859543
78000 17267298
79000 19818814
