1000 412
2000 1435
3000 2965
4000 5143
5000 7938
6000 11770
7000 15226
8000 19758
9000 32471
10000 32083
11000 37429
12000 44726
13000 51671
14000 59989
15000 72449
16000 78320
17000 88159
18000 112961
19000 124216
20000 124306
21000 134887
22000 149393
23000 168380
24000 181251
25000 189404
26000 209430
27000 221216
28000 287366
29000 253313
30000 270892
31000 290344
32000 309266
33000 327196
34000 360580
35000 377408
36000 412776
37000 413286
38000 435785
39000 473067
40000 480472
41000 513767
42000 529449
43000 557944
44000 581093
45000 605780
46000 644617
47000 663471
48000 692829
49000 720538
50000 774201
51000 791365
52000 812550
53000 857549
54000 877455
55000 908191
56000 944213
57000 971255
58000 1021475
59000 1043615
60000 1074205
61000 1112640
62000 1150607
63000 1188277
64000 1238002
65000 1266602
66000 1317934
67000 1386350
68000 1401699
69000 1431433
70000 1459320
71000 1509926
72000 1484871
73000 1590596
74000 1643972
75000 1679923
76000 1734561
77000 1776991
78000 1453218
79000 1419339
80000 1917716
81000 1966111
82000 2018530
83000 2070328
84000 2113966
85000 2041834
86000 2210430
87000 2272726
88000 2278426
89000 2390215
90000 2427769
91000 2305984
92000 2527256
93000 2259341
94000 2011878
95000 2692544
96000 2336837
97000 2811741
98000 2885238
99000 2502743
100000 2994228
